risk_id,process,risk_type,events_last_3y,total_loss_last_3y,controls_level,critical_flag,freq_annual,severity_avg,el_annual,controls_level_num,freq_annual_adj,el_annual_adj
1,Reclamaciones,Operativo,4,12947297.19,Bajo,1,1.3333333333333333,3236824.25,4315765.666666666,5,1.7333333333333334,5610495.366666667
2,Pagos,Operativo,2,2857244.88,Bajo,0,0.6666666666666666,1428622.5,952415.0,5,0.8666666666666667,1238139.5
3,Onboarding,Reputacional,4,12019115.04,Bajo,0,1.3333333333333333,3004778.75,4006371.6666666665,5,1.7333333333333334,5208283.166666667
4,Reclamaciones,Cumplimiento,2,6865292.92,Medio,0,0.6666666666666666,3432646.5,2288431.0,3,0.6666666666666666,2288431.0
5,Reclamaciones,Cumplimiento,3,3693189.08,Bajo,0,1.0,1231063.0,1231063.0,5,1.3,1600381.9000000001
6,Pagos,Operativo,5,11693036.8,Alto,0,1.6666666666666667,2338607.4,3897679.0,1,1.1666666666666667,2728375.3000000003
7,Onboarding,Cumplimiento,2,2065183.66,Medio,0,0.6666666666666666,1032592.0,688394.6666666666,3,0.6666666666666666,688394.6666666666
8,Onboarding,Cumplimiento,4,1425841.97,Bajo,0,1.3333333333333333,356460.5,475280.6666666666,5,1.7333333333333334,617864.8666666667
9,Reclamaciones,Reputacional,3,5863603.43,Alto,0,1.0,1954534.3333333333,1954534.3333333333,1,0.7,1368174.0333333332
10,Credito,Reputacional,3,5635280.8,Medio,0,1.0,1878427.0,1878427.0,3,1.0,1878427.0
11,Reclamaciones,Reputacional,2,9955708.81,Medio,0,0.6666666666666666,4977854.5,3318569.6666666665,3,0.6666666666666666,3318569.6666666665
12,Reclamaciones,Reputacional,5,11435632.6,Bajo,0,1.6666666666666667,2287126.6,3811877.666666667,5,2.166666666666667,4955440.966666668
13,Reclamaciones,Operativo,2,3468981.58,Medio,0,0.6666666666666666,1734491.0,1156327.3333333333,3,0.6666666666666666,1156327.3333333333
14,Reclamaciones,Reputacional,3,8832982.6,Alto,1,1.0,2944327.6666666665,2944327.6666666665,1,0.7,2061029.3666666665
15,Pagos,Cumplimiento,4,2139840.92,Medio,0,1.3333333333333333,534960.25,713280.3333333333,3,1.3333333333333333,713280.3333333333
16,Onboarding,Operativo,8,38497296.85,Alto,0,2.6666666666666665,4812162.125,12832432.333333332,1,1.8666666666666665,8982702.633333333
17,Pagos,Cumplimiento,3,9633912.67,Medio,0,1.0,3211304.3333333335,3211304.3333333335,3,1.0,3211304.3333333335
18,Pagos,Cumplimiento,4,15194821.27,Bajo,0,1.3333333333333333,3798705.25,5064940.333333333,5,1.7333333333333334,6584422.433333334
19,Pagos,Cumplimiento,5,4676709.49,Alto,1,1.6666666666666667,935341.8,1558903.0000000002,1,1.1666666666666667,1091232.1
20,Reclamaciones,Reputacional,3,6319324.44,Medio,0,1.0,2106441.3333333335,2106441.3333333335,3,1.0,2106441.3333333335
21,Credito,Reputacional,3,6513529.97,Medio,0,1.0,2171176.6666666665,2171176.6666666665,3,1.0,2171176.6666666665
22,Onboarding,Operativo,5,20634257.88,Medio,0,1.6666666666666667,4126851.6,6878086.0,3,1.6666666666666667,6878086.0
23,Credito,Operativo,1,106059.73,Alto,0,0.3333333333333333,106060.0,35353.33333333333,1,0.2333333333333333,24747.333333333332
24,Pagos,Reputacional,5,7870901.15,Alto,0,1.6666666666666667,1574180.2,2623633.6666666665,1,1.1666666666666667,1836543.5666666667
25,Pagos,Cumplimiento,0,0.0,Alto,0,0.0,0.0,0.0,1,0.0,0.0
26,Credito,Operativo,4,9707776.25,Bajo,0,1.3333333333333333,2426944.0,3235925.333333333,5,1.7333333333333334,4206702.933333334
27,Credito,Reputacional,1,1974378.77,Bajo,0,0.3333333333333333,1974379.0,658126.3333333333,5,0.43333333333333335,855564.2333333334
28,Credito,Reputacional,7,4810134.77,Alto,0,2.3333333333333335,687162.1428571428,1603378.3333333335,1,1.6333333333333333,1122364.8333333333
29,Pagos,Reputacional,1,4873406.68,Medio,0,0.3333333333333333,4873407.0,1624469.0,3,0.3333333333333333,1624469.0
30,Pagos,Cumplimiento,2,396258.29,Bajo,0,0.6666666666666666,198129.0,132086.0,5,0.8666666666666667,171711.80000000002
31,Onboarding,Reputacional,2,7424366.21,Alto,0,0.6666666666666666,3712183.0,2474788.6666666665,1,0.4666666666666666,1732352.0666666664
32,Onboarding,Reputacional,2,7732278.09,Medio,0,0.6666666666666666,3866139.0,2577426.0,3,0.6666666666666666,2577426.0
33,Pagos,Reputacional,0,0.0,Bajo,0,0.0,0.0,0.0,5,0.0,0.0
34,Credito,Reputacional,3,10171909.12,Medio,0,1.0,3390636.3333333335,3390636.3333333335,3,1.0,3390636.3333333335
35,Credito,Operativo,1,555352.81,Medio,0,0.3333333333333333,555353.0,185117.66666666666,3,0.3333333333333333,185117.66666666666
36,Onboarding,Operativo,4,5438126.42,Medio,0,1.3333333333333333,1359531.5,1812708.6666666665,3,1.3333333333333333,1812708.6666666665
37,Pagos,Reputacional,3,11882159.23,Medio,1,1.0,3960719.6666666665,3960719.6666666665,3,1.0,3960719.6666666665
